,0
alpha_0.1_gamma_0.1,55.85
alpha_0.1_gamma_0.3,51.22
alpha_0.1_gamma_0.5,103.98
alpha_0.1_gamma_0.7,63.415
alpha_0.1_gamma_0.9,78.14
alpha_0.3_gamma_0.1,56.03
alpha_0.3_gamma_0.3,84.945
alpha_0.3_gamma_0.5,70.255
alpha_0.3_gamma_0.7,72.92
alpha_0.3_gamma_0.9,69.225
alpha_0.5_gamma_0.1,88.095
alpha_0.5_gamma_0.3,63.955
alpha_0.5_gamma_0.5,98.97
alpha_0.5_gamma_0.7,64.63
alpha_0.5_gamma_0.9,57.65
alpha_0.7_gamma_0.1,110.99
alpha_0.7_gamma_0.3,58.13
alpha_0.7_gamma_0.5,115.01
alpha_0.7_gamma_0.7,73.0
alpha_0.7_gamma_0.9,101.29
alpha_0.9_gamma_0.1,72.57
alpha_0.9_gamma_0.3,65.72
alpha_0.9_gamma_0.5,85.335
alpha_0.9_gamma_0.7,87.605
alpha_0.9_gamma_0.9,84.97
